payload_kg,joint,official_max_abs_nm,improved_max_abs_nm,delta_max_abs_nm,delta_pct_max_abs_nm,official_p95_abs_nm,improved_p95_abs_nm,delta_p95_abs_nm,delta_pct_p95_abs_nm,official_mean_abs_nm,improved_mean_abs_nm,delta_mean_abs_nm,delta_pct_mean_abs_nm,official_rms_nm,improved_rms_nm,delta_rms_nm,delta_pct_rms_nm
0.0,shoulder_pan,2.653477173675603e-06,2.6021891309166434e-06,-5.1288042758959596e-08,-1.9328616529199372,1.9486090986325227e-06,1.9109339976727552e-06,-3.767510095976749e-08,-1.933435545703177,6.600243861645882e-07,6.479333282986099e-07,-1.2091057865978342e-08,-1.831910777757717,8.969754379827947e-07,8.804340960212709e-07,-1.6541341961523858e-08,-1.8441242938294522
0.0,shoulder_lift,0.8617541869393256,0.8472334142366068,-0.014520772702718787,-1.685024908819055,0.7923867771735096,0.7785169559541307,-0.013869821219378853,-1.750385243536412,0.36980835052435296,0.36362040894674175,-0.006187941577611211,-1.6732833557807192,0.4473046753627572,0.4397554709752559,-0.007549204387501285,-1.6877096984016515
0.0,elbow_flex,0.4528530967104186,0.4528530967104186,0.0,0.0,0.4375735947590606,0.4375735947590605,-1.1102230246251565e-16,-2.220446049250313e-14,0.2652146174229781,0.2652146174229781,0.0,0.0,0.29563798064702845,0.29563798064702845,0.0,0.0
0.0,wrist_flex,0.11707573131115172,0.11707573131115173,1.3877787807814457e-17,2.220446049250313e-14,0.11669152318604595,0.11669152318604593,-1.3877787807814457e-17,-1.1102230246251565e-14,0.07414815790885637,0.07414815790885637,0.0,0.0,0.08255008068307072,0.08255008068307072,0.0,0.0
0.0,wrist_roll,0.0023796616178368007,0.0023796616178368025,1.734723475976807e-18,6.661338147750939e-14,0.002212693271964123,0.002212693271964125,1.734723475976807e-18,8.881784197001252e-14,0.0010467356684724725,0.0010467356684724725,0.0,0.0,0.0012545416355396878,0.001254541635539688,2.168404344971009e-19,2.220446049250313e-14
0.05,shoulder_pan,3.21376447829402e-06,3.1624764355267642e-06,-5.128804276725586e-08,-1.5958867898895113,2.3382610650691202e-06,2.303317141027578e-06,-3.494392404154227e-08,-1.4944406577846903,7.89314449140263e-07,7.774045394449618e-07,-1.1909909695301175e-08,-1.5088929017166297,1.0777368011979942e-06,1.0618355352090752e-06,-1.5901265988918973e-08,-1.4754312900184363
0.05,shoulder_lift,1.062498892333768,1.0481168669556533,-0.014382025378114616,-1.3536037996731087,0.9685705103359541,0.9549301332324819,-0.013640377103472212,-1.4082998561189886,0.4507515879818108,0.44555313361023957,-0.005198454371571237,-1.153285869684173,0.5450679504147902,0.5379833418960766,-0.00708460851871362,-1.2997661141738948
0.05,elbow_flex,0.5971999225926425,0.5971999225926425,0.0,0.0,0.5758513828068135,0.5758513828068136,1.1102230246251565e-16,2.220446049250313e-14,0.3441130980478395,0.3441130980478395,0.0,0.0,0.3842665811762739,0.38426658117627394,5.551115123125783e-17,2.220446049250313e-14
0.05,wrist_flex,0.19515679962486698,0.195156799624867,2.7755575615628914e-17,2.220446049250313e-14,0.19451935375855245,0.1945193537585524,-5.551115123125783e-17,-3.3306690738754696e-14,0.12362222963342208,0.12362222963342208,0.0,0.0,0.13762666544666868,0.13762666544666868,0.0,0.0
0.05,wrist_roll,0.001500572762003227,0.001500572762003227,0.0,0.0,0.0013977302710711775,0.0013977302710711805,3.0357660829594124e-18,2.220446049250313e-13,0.0006595714293224932,0.0006595714293224933,1.0842021724855044e-19,2.220446049250313e-14,0.000790841867826989,0.000790841867826989,0.0,0.0
0.1,shoulder_pan,3.780592788830352e-06,3.731601016634257e-06,-4.8991772196094996e-08,-1.29587540718058,2.739342994227331e-06,2.7074119362513848e-06,-3.1931057975946245e-08,-1.1656465817984518,9.202594842264141e-07,9.088649441890943e-07,-1.1394540037319851e-08,-1.2381877321153922,1.261831762229209e-06,1.2464254159118329e-06,-1.5406346317376082e-08,-1.220950904751239
0.1,shoulder_lift,1.263356232900498,1.249131473771699,-0.014224759128798947,-1.1259499702740872,1.1440033778551921,1.1302622345304734,-0.013741143324718763,-1.2011453454342957,0.5352001677275015,0.5305707571844585,-0.004629410543043,-0.8649867511626219,0.6450289866676917,0.6382891219242599,-0.0067398647434318,-1.0448933121983917
0.1,elbow_flex,0.741551720067714,0.741551720067714,0.0,0.0,0.7141670610940299,0.7141670610940299,0.0,0.0,0.4241288497985309,0.4241288497985309,0.0,0.0,0.4739356044944236,0.4739356044944236,0.0,0.0
0.1,wrist_flex,0.27330314831219926,0.2733031483121993,5.551115123125783e-17,2.220446049250313e-14,0.27242767670332957,0.27242767670332957,0.0,0.0,0.1731127426837922,0.17311274268379226,5.551115123125783e-17,2.220446049250313e-14,0.1927243294918077,0.19272432949180773,2.7755575615628914e-17,2.220446049250313e-14
0.1,wrist_roll,0.005375052769645937,0.005375052769645937,0.0,0.0,0.004999343975649544,0.004999343975649544,0.0,0.0,0.0023644566984873934,0.002364456698487394,4.336808689942018e-19,2.220446049250313e-14,0.0028337181955941856,0.002833718195594186,4.336808689942018e-19,2.220446049250313e-14
0.2,shoulder_pan,4.919185967840163e-06,4.870194195696823e-06,-4.899177214334009e-08,-0.9959325071999814,3.5478050583577415e-06,3.5103246743826044e-06,-3.74803839751371e-08,-1.0564386531566217,1.1888526540711007e-06,1.178641154987783e-06,-1.0211499083317782e-08,-0.8589373164411551,1.6355055135352569e-06,1.6208000697909487e-06,-1.470544374430817e-08,-0.8991375218614372
0.2,shoulder_lift,1.6653854465325892,1.6511606874037903,-0.014224759128798947,-0.8541421542031302,1.4999887121838418,1.4862263284236792,-0.013762383760162589,-0.9174991550520262,0.7087187846162919,0.7046827692335867,-0.004036015382705149,-0.5694805147418602,0.848425727508542,0.8421543994409211,-0.006271328067620874,-0.7391723122349259
0.2,elbow_flex,1.030255315017857,1.030255315017857,0.0,0.0,0.991643043920656,0.991643043920656,0.0,0.0,0.5857622772446818,0.5857622772446819,1.1102230246251565e-16,2.220446049250313e-14,0.6546821723377774,0.6546821723377774,0.0,0.0
0.2,wrist_flex,0.42965194728452616,0.4296519472845264,2.220446049250313e-16,4.440892098500626e-14,0.42819382154998364,0.4281938215499836,-5.551115123125783e-17,-1.1102230246251565e-14,0.27210574641009183,0.2721057464100919,5.551115123125783e-17,2.220446049250313e-14,0.30293688813842307,0.30293688813842307,0.0,0.0
0.2,wrist_roll,0.013126191155865536,0.013126191155865538,1.734723475976807e-18,2.220446049250313e-14,0.012207361416101088,0.012207361416101091,3.469446951953614e-18,2.220446049250313e-14,0.005774946048099797,0.005774946048099797,0.0,0.0,0.006920833052378345,0.006920833052378346,8.673617379884035e-19,2.220446049250313e-14
