
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set LOADED and time  0.1000000E+01

       107  1.624531E-03  8.210377E-04 -2.134933E-02
       108  1.624728E-03  8.222884E-04 -2.213710E-02
       109  1.660734E-03  8.037493E-04 -2.049472E-02
       110  1.629822E-03  8.172197E-04 -2.178083E-02
       111  1.665145E-03  8.066572E-04 -2.085980E-02
       112  1.637175E-03  8.166217E-04 -2.133169E-02
       113  1.818329E-04  7.542637E-04 -2.086833E-02
       114  1.763388E-04  7.735847E-04 -2.133636E-02
       123  1.605830E-03  8.412085E-04 -2.136508E-02
       124  1.598815E-03  8.361916E-04 -2.220329E-02
       125  1.620401E-03  8.331695E-04 -2.054597E-02
       126  1.599864E-03  8.339730E-04 -2.185571E-02
       127  1.622367E-03  8.334810E-04 -2.092001E-02
       128  1.609101E-03  8.363609E-04 -2.137795E-02
       129  1.762648E-04  8.358490E-04 -2.093236E-02
       130  1.603601E-04  8.446955E-04 -2.139096E-02
       131  6.010030E-04  7.705120E-04 -2.031424E-02
       132  5.965722E-04  8.114884E-04 -2.019902E-02
       133  1.844099E-04  7.457273E-04 -2.029329E-02
       134  1.656218E-04  8.120365E-04 -2.050769E-02
       135  2.201780E-04  8.305685E-04 -1.928775E-02
       136  6.321870E-04  8.252324E-04 -1.928286E-02
       137  7.176468E-04  7.865229E-04 -1.837053E-02
       149 -1.722337E-03  7.348034E-04 -1.994913E-02
       150 -1.696034E-03  7.579958E-04 -2.065667E-02
       151 -1.725810E-03  7.211640E-04 -1.915996E-02
       152 -1.691006E-03  7.521492E-04 -2.032722E-02
       153 -1.718795E-03  7.302966E-04 -1.948692E-02
       154 -1.712350E-03  7.395194E-04 -1.992823E-02
       155 -3.836139E-04  7.947794E-04 -1.993228E-02
       156 -3.778854E-04  7.956798E-04 -1.949930E-02
       165 -1.834893E-03  7.201643E-04 -2.004095E-02
       166 -1.802205E-03  7.485482E-04 -2.079159E-02
       167 -1.821442E-03  7.011989E-04 -1.928301E-02
       168 -1.791965E-03  7.397001E-04 -2.047128E-02
       169 -1.813485E-03  7.114766E-04 -1.961926E-02
       170 -1.815525E-03  7.242958E-04 -2.004248E-02
       171 -4.968396E-04  7.386874E-04 -2.005356E-02
       172 -4.956548E-04  7.344692E-04 -1.962825E-02
       173 -3.912683E-04  7.839478E-04 -1.897857E-02
       174 -4.405498E-04  7.472502E-04 -1.921042E-02
       175 -7.878130E-04  7.573978E-04 -1.900190E-02
       176 -8.228292E-04  7.291035E-04 -1.892231E-02
       177 -5.316308E-04  6.860392E-04 -1.812493E-02
       178 -8.866679E-04  6.837376E-04 -1.810957E-02
       179 -9.263901E-04  6.774601E-04 -1.727557E-02
       189 -1.671335E-03  7.197660E-04 -1.778758E-02
       190 -3.295879E-04  8.364750E-04 -2.002285E-02
       191 -3.411764E-04  8.142361E-04 -1.880445E-02
       192 -9.044071E-04  7.813622E-04 -1.877144E-02
       199  2.311758E-04  7.321437E-04 -2.147253E-02
       200  1.734267E-03  7.503334E-04 -1.901464E-02
       205  8.831395E-04  7.296806E-04 -2.009551E-02
       206  2.465084E-04  6.988608E-04 -2.012909E-02
       210 -5.372489E-04  7.421658E-04 -2.033309E-02
       211 -1.885698E-03  6.530380E-04 -1.813523E-02
       220 -1.097598E-03  6.718453E-04 -1.727216E-02
       221 -1.072698E-03  6.799757E-04 -1.810810E-02
       222 -1.017590E-03  7.238304E-04 -1.892003E-02
       223 -9.805232E-04  7.483348E-04 -1.899768E-02
       225 -4.761132E-04  7.624020E-04 -2.046537E-02
       227 -3.748058E-04  8.087226E-04 -2.032892E-02
       229 -5.396961E-03  5.525119E-04 -1.915997E-02
       230 -5.449850E-03  5.846456E-04 -1.994895E-02
       240  1.612950E-03  8.383539E-04 -1.925026E-02
       241  1.548179E-04  8.514912E-04 -2.167311E-02
       251  9.135565E-04  7.887746E-04 -1.836690E-02
       252  8.362741E-04  8.261939E-04 -1.928081E-02
       253  8.093527E-04  8.124291E-04 -2.019691E-02
       254  8.109558E-04  7.786208E-04 -2.031333E-02
       255  8.182351E-04  8.079170E-04 -1.976827E-02
       256  8.519229E-04  8.131371E-04 -1.927208E-02
       257  9.188849E-04  7.874203E-04 -1.876591E-02
       258  1.518943E-04  8.340427E-04 -2.185380E-02
       260  1.818922E-04  7.751951E-04 -2.177983E-02
       262  5.736112E-03  9.187783E-04 -2.134593E-02
       263  5.700215E-03  9.343709E-04 -2.049579E-02
       268  3.708795E-03  8.721156E-04 -1.901451E-02
       269  3.594413E-03  8.197696E-04 -1.925338E-02
       274 -3.466114E-03  5.994194E-04 -1.778683E-02
       533  5.646278E-03  8.493680E-04 -2.055248E-02
       534  5.236453E-03  8.486703E-04 -2.136823E-02
       535  5.657764E-03  8.509100E-04 -2.042190E-02
       536  5.732262E-03  9.193350E-04 -2.201613E-02
       537  5.393904E-03  8.790757E-04 -2.220731E-02
       542  5.694962E-03  9.507994E-04 -1.915521E-02
       543  5.715307E-03  9.668979E-04 -2.028979E-02
       544  5.750480E-03  9.320675E-04 -2.198218E-02
       545  5.638228E-03  8.375054E-04 -1.929206E-02
       547  5.651094E-03  8.475745E-04 -1.928740E-02
       548  5.696208E-03  8.773515E-04 -1.976698E-02
       549  5.579089E-03  8.630155E-04 -1.880006E-02
       550  5.743052E-03  9.361693E-04 -2.214106E-02
       558 -3.687348E-03  6.371507E-04 -1.814047E-02
       566 -5.435778E-03  5.943364E-04 -2.066143E-02
       567 -5.368636E-03  5.279411E-04 -1.896570E-02
       568 -5.445855E-03  5.935342E-04 -2.051844E-02
       569 -5.497457E-03  6.022019E-04 -2.058668E-02
       570 -5.492952E-03  6.109696E-04 -1.916343E-02
       571 -5.250316E-03  6.447876E-04 -2.079433E-02
       572 -5.487587E-03  6.173928E-04 -1.928697E-02
       573 -5.138700E-03  6.489934E-04 -2.004677E-02
       575 -5.482685E-03  5.870579E-04 -1.813903E-02
       576 -5.341437E-03  5.058375E-04 -1.793124E-02
       718  1.636819E-03  8.237568E-04 -2.240959E-02
       719  1.660393E-03  8.120656E-04 -2.175383E-02
       720  1.675741E-03  7.946226E-04 -2.070709E-02
       721  1.677577E-03  7.868835E-04 -2.012895E-02
       722  1.636234E-03  8.208623E-04 -2.193355E-02
       723  1.653255E-03  8.159059E-04 -2.156531E-02
       724  1.673182E-03  8.045044E-04 -2.098373E-02
       725  1.678387E-03  7.992755E-04 -2.066393E-02
       734  1.598537E-03  8.366147E-04 -2.251638E-02
       735  1.607335E-03  8.283083E-04 -2.190010E-02
       736  1.621921E-03  8.201703E-04 -2.086559E-02
       737  1.637049E-03  8.284109E-04 -2.024320E-02
       738  1.597412E-03  8.307763E-04 -2.203439E-02
       739  1.611291E-03  8.309878E-04 -2.169130E-02
       740  1.625279E-03  8.244433E-04 -2.110727E-02
       741  1.638311E-03  8.254095E-04 -2.076062E-02
       742  5.859518E-04  7.921662E-04 -2.054619E-02
       743  4.060273E-04  7.585421E-04 -2.030413E-02
       744  1.657403E-04  7.791134E-04 -2.096370E-02
       756 -1.676340E-03  7.652987E-04 -2.089254E-02
       757 -1.669233E-03  7.570185E-04 -2.029080E-02
       758 -1.685494E-03  7.392741E-04 -1.933997E-02
       759 -1.709847E-03  7.226098E-04 -1.882827E-02
       760 -1.678341E-03  7.533971E-04 -2.046052E-02
       761 -1.678007E-03  7.461533E-04 -2.012390E-02
       762 -1.696628E-03  7.394745E-04 -1.959172E-02
       763 -1.715630E-03  7.293723E-04 -1.930795E-02
       772 -1.770601E-03  7.578437E-04 -2.105467E-02
       773 -1.752357E-03  7.445250E-04 -2.047646E-02
       774 -1.763763E-03  7.188024E-04 -1.953070E-02
       775 -1.804506E-03  6.966087E-04 -1.898705E-02
