name,source,geometry_type,scale_to_mm,node_count,tet_count,span_axis,bbox_extent_mm,mesh_volume_mm3,mass_g,fixed_node_count,loaded_node_count,max_disp_mm,mean_loaded_disp_mm,max_von_mises_mpa,p95_von_mises_mpa,safety_factor_yield,vtk_path
official,<repo>/00_source_snapshot/STEP_SO101/Upper_arm_SO101.step,step,1.0,2845,8943,x,"142.170,24.500,67.300",115465.8571697128,143.17766289044388,530,520,0.023252569601392426,0.0196864164597619,0.32423562078537727,0.13448334657097946,154.20884318289237,<repo>/07_fea_analysis/upper_arm_static_fea/results/official_upper_arm_static_fea.vtu
v3,<repo>/05_improved_design/upper_arm_v3/upper_arm_v3_ai_rebuild.stl,gmsh_occ_parametric_no_small_mount_holes,1.0,1759,5620,x,"150.500,36.000,39.300",104561.16502828285,129.65584463507074,196,125,0.06978172958309017,0.06417663433928596,0.5880817831044535,0.35612196445585037,85.02218813181489,<repo>/07_fea_analysis/upper_arm_static_fea/results/v3_upper_arm_static_fea.vtu
