name,mesh_path,node_count,tet_count,span_axis,bbox_extent_mm,mesh_volume_mm3,mass_g,fixed_node_count,loaded_node_count,fixed_band_mm,loaded_band_mm,max_disp_mm,mean_loaded_disp_mm,max_von_mises_mpa,p95_von_mises_mpa,safety_factor_yield,vtk_path
official,<repo>/07_fea_analysis/upper_arm_static_fea/results/tmp/official_upper_arm_tet.msh,2845,8943,x,"142.170,24.500,67.300",115465.8571697128,143.17766289044388,102,27,2.0,3.0,0.033667817555447996,0.03224589031975206,0.7256586008429834,0.1873534339243233,68.90292479399538,<repo>/07_fea_analysis/upper_arm_static_fea/results_interface_boundary/official_upper_arm_interface_fea.vtu
v3,<repo>/07_fea_analysis/upper_arm_static_fea/results/tmp/v3_upper_arm_tet.msh,1759,5620,x,"150.500,36.000,39.300",104561.16502828285,129.65584463507074,56,25,2.0,4.0,0.08695366862654645,0.08592990795073771,0.6361192346526321,0.38133527581794424,78.60161629494458,<repo>/07_fea_analysis/upper_arm_static_fea/results_interface_boundary/v3_upper_arm_interface_fea.vtu
