name,source,geometry_type,mesh_size_mm,node_count,tet_count,span_axis,bbox_extent_mm,mesh_volume_mm3,mass_g,fixed_node_count,loaded_node_count,max_disp_mm,mean_loaded_disp_mm,max_von_mises_mpa,p95_von_mises_mpa,safety_factor_yield,vtk_path
official,<repo>/00_source_snapshot/STEP_SO101/Upper_arm_SO101.step,step_refined_5mm,5.0,3750,12410,x,"142.170,24.500,67.300",116184.94530315467,144.0693321759118,679,569,0.024591072537046895,0.02061376735056249,0.32656449423703104,0.13982313609067548,153.1091128471192,<repo>/07_fea_analysis/upper_arm_static_fea/results_full_v3_clean/official_upper_arm_full_v3_clean_fea.vtu
v3_full,<repo>/07_fea_analysis/upper_arm_static_fea/results_full_v3_clean/v3_full_cae_clean_5mm.step,full_v3_cae_clean_5mm,5.0,3255,11048,x,"150.500,36.000,39.300",102812.16022537244,127.48707867946182,491,213,0.0715767356912598,0.0660701189626807,0.7697452725935843,0.3354913242551402,64.95655352520673,<repo>/07_fea_analysis/upper_arm_static_fea/results_full_v3_clean/v3_full_upper_arm_full_v3_clean_fea.vtu
