name,mesh_path,job_name,node_count,tet_count,fixed_node_count,loaded_node_count,total_force_n,per_loaded_node_force_n,ccx_returncode,ccx_status,inp_path,dat_path,frd_path,sta_path,log_path,dat_size_bytes,frd_size_bytes,max_loaded_disp_mm,mean_loaded_disp_mm,max_von_mises_mpa,p95_von_mises_mpa,safety_factor_yield
official,<repo>/07_fea_analysis/upper_arm_static_fea/results_full_v3_clean/tmp/official_upper_arm_clean_5mm.msh,official_upper_arm_ccx_smoke,3750,12410,679,569,10.0,0.01757469244288225,0,PASS,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/official/official_upper_arm_ccx_smoke.inp,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/official/official_upper_arm_ccx_smoke.dat,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/official/official_upper_arm_ccx_smoke.frd,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/official/official_upper_arm_ccx_smoke.sta,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/official/official_upper_arm_ccx_smoke_ccx.log,2487588,1702805,0.024591077255072417,0.020613767413315175,0.32656446375531173,0.13985429540951438,153.10912713841395
v3_full,<repo>/07_fea_analysis/upper_arm_static_fea/results_full_v3_clean/tmp/v3_full_upper_arm_clean_5mm.msh,v3_full_upper_arm_ccx_smoke,3255,11048,491,213,10.0,0.046948356807511735,0,PASS,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/v3_full/v3_full_upper_arm_ccx_smoke.inp,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/v3_full/v3_full_upper_arm_ccx_smoke.dat,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/v3_full/v3_full_upper_arm_ccx_smoke.frd,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/v3_full/v3_full_upper_arm_ccx_smoke.sta,<repo>/07_fea_analysis/upper_arm_static_fea/results_calculix_smoke/v3_full/v3_full_upper_arm_ccx_smoke_ccx.log,2199044,1498439,0.07157673147645988,0.06607011895755466,0.7697452884997265,0.335540378569691,64.9565521829339
