sample_id,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,official_x,official_y,official_z,improved_x,improved_y,improved_z,ee_diff_m
0,0.0,0.0,0.0,0.0,0.0,0.3913614749908447,-9.212063559971284e-06,0.2264697104692459,0.3913614749908447,-9.212063559971284e-06,0.2264697104692459,0.0
1,-0.43483940016480993,0.3230840539963191,0.802176323014756,1.6080735640465769,1.9601422533397894,0.05154390633106232,-0.002422274323180318,0.02913878858089447,0.05154390633106232,-0.002422274323180318,0.02913878858089447,0.0
2,-0.385582792318766,1.1494687487124073,-0.07287810609210199,-0.3635666662893535,-2.33369506599422,0.3492661714553833,0.1318548023700714,-0.07913754880428314,0.3492661714553833,0.1318548023700714,-0.07913754880428314,0.0
3,-1.8655185024427259,-0.7970690987285862,1.345170152119605,0.3132562513806201,0.8375277816709548,-0.009777100756764412,0.18057331442832947,0.02510472573339939,-0.009777100756764412,0.18057331442832947,0.02510472573339939,0.0
4,-1.7404467917424393,-0.6972763481178201,-1.0980350484003716,-0.8966401751577567,2.5673499483288156,0.07744602113962173,-0.1980951428413391,0.4145441949367523,0.07744602113962173,-0.1980951428413391,0.4145441949367523,0.0
5,-1.0804094436119345,-0.9155563035893641,-0.8342506683761947,-1.0206330715592666,-1.2976160670641208,-0.07071343064308167,-0.18932242691516876,0.398799866437912,-0.07071343064308167,-0.18932242691516876,0.398799866437912,0.0
6,-1.647638843202954,1.2101721199675763,-0.5520102257306314,-0.06584498160831376,0.5744819085638531,0.013683578930795193,0.38306042551994324,-0.042747482657432556,0.013683578930795193,0.38306042551994324,-0.042747482657432556,0.0
7,-1.4586013247973328,0.6839243065899492,-0.7182053876314239,1.5815203868182415,-2.6492109408845104,0.06552349776029587,0.26735419034957886,0.03696572780609131,0.06552349776029587,0.26735419034957886,0.03696572780609131,0.0
8,-0.8317369539877051,1.1377723257314627,-1.6778136279143412,-1.2648954331903708,0.7571909057202464,0.19519400596618652,0.16342546045780182,0.3684846758842468,0.19519400596618652,0.16342546045780182,0.3684846758842468,0.0
9,-1.7870001213534505,-0.9119132652466061,-1.1345595299053386,0.513105333039036,1.8212927718982224,0.06877271831035614,-0.09960003197193146,0.48438331484794617,0.06877271831035614,-0.09960003197193146,0.48438331484794617,0.0
10,-1.2623499150832234,0.862988882777191,-0.44330260308695735,1.568443053205861,1.8867071056347307,0.1060153916478157,0.1853601187467575,-0.028195757418870926,0.1060153916478157,0.1853601187467575,-0.028195757418870926,0.0
11,-0.942434087670796,0.2114789474190628,-1.3931204957738408,0.6733476538993466,2.3890052552182777,0.19870039820671082,0.21032045781612396,0.43000540137290955,0.19870039820671082,0.21032045781612396,0.43000540137290955,0.0
12,0.079084644085893,1.2244429448625427,0.7689566462901105,0.19065663581790337,1.8155578405831632,0.0431947261095047,-0.00825334619730711,-0.12790937721729279,0.0431947261095047,-0.00825334619730711,-0.12790937721729279,0.0
13,-1.2186163930313174,-0.8095631529844919,-0.6734499274426444,-0.4435123848273752,-1.5867412290648237,0.003694394836202264,-0.0732434093952179,0.4985164999961853,0.003694394836202264,-0.0732434093952179,0.4985164999961853,0.0
14,1.6988273088715307,0.0009970571767146108,0.08460338986993254,-0.8593249762128577,-0.08964880644394446,-0.0004047464462928474,-0.3102773129940033,0.3284398019313812,-0.0004047464462928474,-0.3102773129940033,0.3284398019313812,0.0
15,-1.8760084848427094,-1.4128808121633412,1.0993518542005511,0.5827692589318578,1.676121003218892,-0.014792987145483494,0.19701096415519714,0.1667940467596054,-0.014792987145483494,0.19701096415519714,0.1667940467596054,0.0
16,-1.1599894939068145,-1.2827717812414434,-0.35769421816446445,-0.5487447446654048,-2.438759093528499,-0.038036685436964035,-0.1644553393125534,0.43581321835517883,-0.038036685436964035,-0.1644553393125534,0.43581321835517883,0.0
17,-0.5956682900187391,0.7020612923932985,-1.4394436078257828,-1.3184589479112026,2.7846921575558223,0.15653935074806213,0.07604166865348816,0.4164525866508484,0.15653935074806213,0.07604166865348816,0.4164525866508484,0.0
