index,joint_name,joint_type,parent_index,parent_link,child_link,axis,origin_xyz,lower,upper,effort,velocity,mass,local_inertia
0,shoulder_pan,REVOLUTE,-1,base_link,shoulder_link,"(-0.019374663499861118, 0.0032473379893348886, 0.9998070199844817)","(0.025117400000000005, 5.196212343e-05, 0.028915699999999996)",-1.91986,1.91986,10.0,10.0,0.100006,"(8.378355122236958e-05, 8.103880894259973e-05, 2.3955239835030688e-05)"
1,shoulder_lift,REVOLUTE,0,shoulder_link,upper_arm_link,"(0.00036182244647983084, 0.0019031849098297227, 0.9999981234840974)","(0.00043877337809842057, -0.018358146080736736, -0.028866154399188812)",-1.74533,1.74533,10.0,10.0,0.103,"(3.724505629277975e-05, 0.00015087316030509333, 0.00014248698340212692)"
2,elbow_flex,REVOLUTE,1,upper_arm_link,lower_arm_link,"(-0.010812086581995435, 0.0014828059663206184, 0.9999404482619)","(-0.025841301946047224, -0.01532413388563786, -0.01837041984892711)",-1.69,1.69,10.0,10.0,0.104,"(2.8312456912253556e-05, 0.00016026169955652951, 0.00014530364353121692)"
3,wrist_flex,REVOLUTE,2,lower_arm_link,wrist_link,"(-0.00321231177067955, 0.4917460824926905, 0.8707327209920273)","(-0.03668179050608475, -0.00014670710779125708, -0.0186806016190548)",-1.65806,1.65806,10.0,10.0,0.079,"(3.6826479347248204e-05, 2.7447377208972452e-05, 1.8943443443779338e-05)"
4,wrist_roll,REVOLUTE,3,wrist_link,gripper_link,"(0.4893069839863366, 0.010211744365841439, 0.8720518308559427)","(0.0001233009263577842, -0.02450416974500805, 0.002336682094067441)",-2.74385,2.84121,10.0,10.0,0.087,"(2.4283921793302358e-05, 4.337349303844792e-05, 3.772288516824972e-05)"
5,gripper_frame_joint,FIXED,4,gripper_link,gripper_frame_link,"(0.0, 0.0, 0.0)","(-0.04277265814782226, -0.0010066003074415543, -0.059630813971861915)",0.0,-1.0,0.0,0.0,1e-09,"(0.0, 0.0, 0.0)"
6,gripper,REVOLUTE,4,gripper_link,moving_jaw_so101_v1_link,"(0.0011136024073585926, 0.03215415215314543, 0.9994823011884655)","(0.01861044537331079, 0.018070464631063494, -0.008604708569072594)",-0.174533,1.74533,10.0,10.0,0.012,"(6.635823974947971e-06, 1.8652259035967686e-06, 5.290920121455261e-06)"
