model,face_index,radius_mm,loc_x_mm,loc_y_mm,loc_z_mm,axis_x,axis_y,axis_z,axis_label,axis_error_to_y_deg,duplicate_count
official_upper_arm_step,254,2.70000000000001,60.1352416495753,16.9497474683058,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,295,2.70000000000001,60.1352416495753,7.05025253169411,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,309,2.70000000000001,60.1352416495753,7.05025253169411,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,293,2.70000000000001,70.034736586187,7.05025253169415,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,310,2.70000000000001,70.034736586187,7.05025253169415,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,289,2.70000000000001,70.0347365861872,16.9497474683048,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,312,2.70000000000001,70.0347365861872,16.9497474683048,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,36,2.0,-63.0849891178812,22.5,25.0,-0.0,-0.0,1.0,Z,90.0,2
official_upper_arm_step,40,2.0,-63.0849891178812,2.00000000000001,25.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,152,2.0,-57.7349891178812,7.20000000000004,-10.1067342622903,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,142,2.0,-57.6500000000001,11.0,9.10673426229027,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,156,2.0,-37.2349891178811,7.20000000000004,-10.1067342622903,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,138,2.0,-37.15,11.0,9.10673426229027,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,326,1.6,65.0849891178812,12.0,31.7,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,199,1.50000000000001,60.1352416495753,16.9497474683058,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,240,1.50000000000001,60.1352416495753,16.9497474683058,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,196,1.5,70.034736586187,16.9497474683058,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,237,1.5,70.034736586187,16.9497474683058,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,202,1.49999999999999,60.1352416495753,7.05025253169411,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,243,1.49999999999999,60.1352416495753,7.05025253169411,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,205,1.49999999999998,70.034736586187,7.05025253169415,-36.0,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,246,1.49999999999998,70.034736586187,7.05025253169415,36.0,-0.0,-0.0,1.0,Z,90.0,1
official_upper_arm_step,151,1.00000000000001,-37.15,11.0,60.3553390593274,-9.14072423519725e-17,-3.80559094037443e-32,1.0,Z,90.0,1
official_upper_arm_step,148,1.0,-57.6500000000001,11.0,60.3553390593274,-9.14072423519725e-17,-3.80559094037443e-32,1.0,Z,90.0,1
official_upper_arm_step,162,0.999999999999964,-37.2349891178812,7.20000000000004,-60.3553390593274,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,165,0.99999999999996,-57.7349891178812,7.20000000000004,-60.3553390593274,0.0,0.0,1.0,Z,90.0,1
official_upper_arm_step,28,0.8,39.3708401847029,17.5391188837836,-35.7,2.00574398977342e-31,8.9301475963232e-32,1.0,Z,90.0,1
official_upper_arm_step,30,0.8,48.2707588191793,17.5771754167284,-35.7,2.00574398977342e-31,8.9301475963232e-32,1.0,Z,90.0,1
official_upper_arm_step,270,5.0,-65.2456895742164,19.0,24.6348668996059,0.9152763177945742,-0.0,-0.4028265905875701,oblique,90.0,1
official_upper_arm_step,121,5.0,-46.8108076470797,5.00000000000001,-16.5214037953856,0.9152763177945742,2.6317913569392606e-18,0.4028265905875701,oblique,90.0,1
official_upper_arm_step,108,5.0,-33.6205230238139,20.9644660940673,-13.0,-0.707106781186545,0.70710678118655,7.66646708341684e-17,oblique,44.9999999999998,1
official_upper_arm_step,110,5.0,-33.6205230238139,20.9644660940673,13.0,-0.707106781186545,0.70710678118655,7.66646708341684e-17,oblique,44.9999999999998,1
official_upper_arm_step,212,5.0,-33.6205230238139,20.9644660940673,20.0,-0.707106781186545,0.70710678118655,-0.0,oblique,44.9999999999998,1
official_upper_arm_step,274,5.0,-33.6205230238139,20.9644660940673,-20.0,-0.707106781186545,0.70710678118655,-0.0,oblique,44.9999999999998,1
official_upper_arm_step,113,5.0,39.0708561649433,19.0,21.2763815889729,0.9152763177945742,-0.0,0.4028265905875701,oblique,90.0,1
official_upper_arm_step,118,5.0,39.0708561649433,5.00000000000001,-21.2763815889729,0.9152763177945742,2.6317913569392606e-18,-0.4028265905875701,oblique,90.0,1
official_upper_arm_step,17,1.2,39.7879286332919,13.5436614930019,-35.7713106032086,-0.002981088393788949,0.6971587292361779,0.7169106076504839,oblique,45.80050937990219,1
official_upper_arm_step,5,1.2,39.8809393908316,10.2749526367736,-35.2039282867181,0.002981088393792239,-0.6971587292361779,0.7169106076504839,oblique,45.80050937990219,1
official_upper_arm_step,18,1.2,47.8854952680739,14.1300473632264,-35.2039282867181,-0.002981088393789019,0.6971587292361779,0.7169106076504839,oblique,45.80050937990219,1
